ranks,size,median_ms,min_ms,gbs_eff
4,1024,0.0326,0.0258,0.377
4,8192,0.0616,0.0604,1.595
4,65536,0.7725,0.7246,1.018
4,262144,3.1551,2.9276,0.997
4,1048576,7.9417,7.7721,1.584
4,4194304,15.3913,14.9924,3.270
6,1024,0.0543,0.0489,0.252
6,8192,0.1109,0.0980,0.985
6,65536,1.4791,1.4328,0.591
6,262144,5.8865,5.5412,0.594
6,1048576,18.7903,17.8061,0.744
6,4194304,31.9139,31.3927,1.752
8,1024,0.0498,0.0395,0.288
8,8192,0.0602,0.0564,1.904
8,65536,1.0764,0.8260,0.852
8,262144,3.6722,3.0818,0.999
8,1048576,10.8164,9.5937,1.357
8,4194304,16.8469,16.5669,3.486
