ranks,size,algo,median_ms,min_ms,gbs_eff
8,1024,tree,0.0338,0.0323,0.424
8,1024,ring,0.0688,0.0640,0.208
8,1024,hd,0.0327,0.0284,0.438
8,1024,mpi,0.0219,0.0208,0.654
8,8192,tree,0.0943,0.0918,1.216
8,8192,ring,0.0882,0.0857,1.300
8,8192,hd,0.0528,0.0507,2.171
8,8192,mpi,0.0624,0.0508,1.838
8,65536,tree,0.9664,0.8949,0.949
8,65536,ring,0.2719,0.2567,3.375
8,65536,hd,0.6703,0.6540,1.369
8,65536,mpi,0.7004,0.6926,1.310
8,262144,tree,3.6938,3.6086,0.994
8,262144,ring,0.9270,0.8050,3.959
8,262144,hd,2.3077,2.2684,1.590
8,262144,mpi,1.2517,1.2315,2.932
8,1048576,tree,8.1888,8.0513,1.793
8,1048576,ring,3.1384,2.9505,4.678
8,1048576,hd,5.1839,5.0458,2.832
8,1048576,mpi,4.8101,4.6656,3.052
8,4194304,tree,32.5253,30.9993,1.805
8,4194304,ring,12.8468,12.7708,4.571
8,4194304,hd,17.8349,17.3787,3.292
8,4194304,mpi,23.4903,21.5393,2.500
