ranks,epoch,loss,acc,time_s,samples_per_s
1,1,0.8388,89.73,12.88,4652
1,2,0.3223,92.32,20.20,2966
1,3,0.2651,93.39,17.36,3450
1,4,0.2299,94.05,19.08,3140
1,5,0.2038,94.52,19.76,3031
2,1,0.8388,89.73,4.98,12026
2,2,0.3223,92.32,13.00,4607
2,3,0.2651,93.39,16.62,3604
2,4,0.2299,94.05,18.57,3226
2,5,0.2038,94.52,18.23,3286
4,1,0.8388,89.73,1.31,45583
4,2,0.3223,92.32,1.17,51310
4,3,0.2651,93.39,1.19,50326
4,4,0.2299,94.05,1.15,52059
4,5,0.2038,94.52,1.15,52009
8,1,0.8388,89.73,0.63,95660
8,2,0.3223,92.32,0.63,94953
8,3,0.2651,93.39,0.64,93822
8,4,0.2299,94.05,0.78,76658
8,5,0.2038,94.52,0.70,85314
16,1,0.8388,89.73,0.61,97421
16,2,0.3223,92.32,0.60,100340
16,3,0.2651,93.39,0.68,88608
16,4,0.2299,94.05,0.76,78650
16,5,0.2038,94.52,0.73,81851
32,1,0.8388,89.73,0.49,122838
32,2,0.3223,92.32,0.48,124005
32,3,0.2651,93.39,0.48,123693
32,4,0.2299,94.05,0.48,124304
32,5,0.2038,94.52,0.48,123945
