ranks,epoch,loss,acc,time_s,samples_per_s
1,1,0.8388,89.73,10.68,5610
1,2,0.3223,92.32,21.29,2814
1,3,0.2651,93.39,20.69,2896
1,4,0.2299,94.05,19.92,3007
1,5,0.2038,94.52,19.90,3010
2,1,0.8388,89.73,3.94,15219
2,2,0.3223,92.32,12.13,4939
2,3,0.2651,93.39,13.50,4436
2,4,0.2299,94.05,12.81,4677
2,5,0.2038,94.52,11.53,5195
4,1,0.8388,89.73,1.20,49865
4,2,0.3223,92.32,1.17,51226
4,3,0.2651,93.39,1.15,52285
4,4,0.2299,94.05,1.13,53232
4,5,0.2038,94.52,1.22,49123
8,1,0.8388,89.73,0.66,91067
8,2,0.3223,92.32,0.65,91485
8,3,0.2651,93.39,0.65,92275
8,4,0.2299,94.05,0.66,90331
8,5,0.2038,94.52,0.66,91268
16,1,0.8388,89.73,0.78,77256
16,2,0.3223,92.32,0.76,78329
16,3,0.2651,93.39,0.72,83128
16,4,0.2299,94.05,0.71,84319
16,5,0.2038,94.52,0.71,84624
32,1,0.8388,89.73,0.47,128125
32,2,0.3223,92.32,0.49,123477
32,3,0.2651,93.39,0.46,130259
32,4,0.2299,94.05,0.48,125604
32,5,0.2038,94.52,0.47,128144
