ranks,epoch,loss,acc,time_s,samples_per_s
1,1,0.3253,94.90,4.21,14232
1,2,0.1394,96.39,3.80,15792
1,3,0.0972,96.95,3.79,15811
1,4,0.0735,96.98,3.76,15936
1,5,0.0588,97.16,3.75,15996
2,1,0.3253,94.90,3.51,17092
2,2,0.1394,96.39,3.43,17506
2,3,0.0972,96.95,3.49,17174
2,4,0.0735,96.98,3.54,16959
2,5,0.0588,97.16,3.47,17294
4,1,0.3253,94.90,2.61,22940
4,2,0.1394,96.39,2.56,23392
4,3,0.0972,96.95,2.52,23802
4,4,0.0735,96.98,2.43,24726
4,5,0.0588,97.16,2.49,24092
8,1,0.3253,94.90,3.37,17785
8,2,0.1394,96.39,3.31,18132
8,3,0.0972,96.95,3.29,18212
8,4,0.0735,96.98,3.35,17917
8,5,0.0588,97.16,3.23,18546
16,1,0.3253,94.90,3.99,15018
16,2,0.1394,96.39,3.91,15345
16,3,0.0972,96.95,3.71,16170
16,4,0.0735,96.98,3.69,16243
16,5,0.0588,97.16,3.66,16405
32,1,0.3253,94.90,5.33,11254
32,2,0.1394,96.39,5.21,11514
32,3,0.0972,96.95,5.19,11555
32,4,0.0735,96.98,5.22,11488
32,5,0.0588,97.16,5.18,11573
